x,pixel space,Mixing_depth_(m)
0.0,180.75,106.95187165775401
1.0,180.75,106.95187165775401
2.0,180.75,106.95187165775401
3.0,180.8,106.09625668449179
4.0,180.8,106.09625668449179
5.0,181.5,94.11764705882352
6.0,181.5,94.11764705882352
7.0,181.5,94.11764705882352
8.0,180.8,106.09625668449179
9.0,180.75,106.95187165775401
10.0,180.75,106.95187165775401
11.0,180.75,106.95187165775401
12.0,180.0,119.78609625668449
13.0,178.125,151.8716577540107
14.0,175.91666666666666,189.66131907308394
15.0,173.92857142857142,223.6822001527886
16.0,168.5,316.5775401069519
17.0,165.0,376.4705882352941
18.0,162.0,427.80748663101605
19.0,159.5,470.5882352941177
20.0,154.5,556.1497326203208
21.0,152.0,598.9304812834224
22.0,150.5,624.5989304812834
23.0,142.5,761.4973262032086
24.0,137.27272727272728,850.9479824987845
25.0,135.5,881.283422459893
26.0,129.54545454545453,983.1793874574626
27.0,125.5,1052.4064171122993
28.0,122.5,1103.7433155080214
29.0,118.25,1176.4705882352941
30.0,114.5,1240.6417112299464
31.0,113.0,1266.3101604278077
32.0,106.8,1372.4064171122996
39.0,94.5,1582.8877005347592
40.0,94.0,1591.4438502673797
41.0,98.0,1522.9946524064171
42.0,98.0,1522.9946524064171
43.0,107.86363636363636,1354.2051531356344
44.0,130.72222222222223,963.0421865715982
45.0,136.7037037037037,860.6852842146961
46.0,146.625,690.9090909090909
47.0,162.16216216216216,425.03251915016625
48.0,165.19354838709677,373.1585302742799
49.0,171.31578947368422,268.3929074021952
50.0,177.85714285714286,156.4553093964858
51.0,179.2,133.4759358288772
52.0,180.0,119.78609625668449
53.0,180.0,119.78609625668449
54.0,180.0,119.78609625668449
55.0,179.2,133.4759358288772
56.0,179.2,133.4759358288772
57.0,180.0,119.78609625668449
58.0,180.8,106.09625668449179
59.0,180.8,106.09625668449179
60.0,181.6,92.40641711229956
61.0,182.4,78.71657754010685
62.0,182.4,78.71657754010685
63.0,183.2,65.02673796791464
64.0,183.2,65.02673796791464
65.0,183.2,65.02673796791464
66.0,183.75,55.61497326203209
67.0,183.75,55.61497326203209
68.0,183.75,55.61497326203209
69.0,184.0,51.33689839572193
70.0,183.5,59.893048128342244
71.0,183.0,68.44919786096256
72.0,181.83333333333334,88.41354723707649
73.0,180.42857142857142,112.45225362872442
74.0,179.33333333333334,131.19429590017808
75.0,178.5,145.45454545454547
76.0,176.375,181.8181818181818
77.0,172.25,252.40641711229947
78.0,167.5,333.6898395721925
79.0,165.5,367.9144385026738
80.0,161.5,436.3636363636363
81.0,153.625,571.1229946524064
82.0,146.0,701.6042780748662
83.0,140.0,804.2780748663101
84.0,134.0,906.951871657754
85.0,134.0,906.951871657754
88.0,124.0,1078.0748663101604
89.0,123.0,1095.187165775401
90.0,120.5,1137.9679144385027
91.0,119.0,1163.6363636363637
92.0,119.0,1163.6363636363637
93.0,119.5,1155.0802139037432
94.0,120.5,1137.9679144385027
95.0,121.5,1120.8556149732622
96.0,122.0,1112.2994652406417
97.0,123.0,1095.187165775401
98.0,127.0,1026.7379679144385
99.0,127.5,1018.1818181818181
100.0,127.5,1018.1818181818181
101.0,151.5,607.4866310160428
102.0,155.0,547.5935828877004
103.0,157.5,504.81283422459893
104.0,167.22222222222223,338.44325609031483
105.0,170.8,277.2192513368982
106.0,174.46153846153845,214.56190867955587
107.0,179.2,133.4759358288772
108.0,180.0,119.78609625668449
109.0,180.0,119.78609625668449
110.0,180.75,106.95187165775401
111.0,180.75,106.95187165775401
112.0,180.8,106.09625668449179
113.0,180.8,106.09625668449179
114.0,180.8,106.09625668449179
115.0,180.75,106.95187165775401
116.0,180.75,106.95187165775401
117.0,180.0,119.78609625668449
118.0,180.0,119.78609625668449
119.0,179.2,133.4759358288772
120.0,179.2,133.4759358288772
121.0,179.2,133.4759358288772
122.0,180.0,119.78609625668449
123.0,180.0,119.78609625668449
124.0,180.0,119.78609625668449
125.0,180.0,119.78609625668449
126.0,180.0,119.78609625668449
127.0,180.0,119.78609625668449
128.0,179.33333333333334,131.19429590017808
129.0,178.5,145.45454545454547
130.0,177.6,160.85561497326213
131.0,176.8,174.54545454545436
132.0,173.0,239.57219251336898
133.0,172.0,256.6844919786096
134.0,171.0,273.7967914438502
135.0,170.5,282.3529411764706
136.0,168.5,316.5775401069519
137.0,167.5,333.6898395721925
138.0,166.0,359.3582887700535
139.0,164.5,385.0267379679144
140.0,162.5,419.2513368983957
141.0,158.0,496.25668449197866
142.0,156.5,521.9251336898396
143.0,151.55555555555554,606.5359477124185
144.0,145.27272727272728,714.0495867768593
145.0,134.30769230769232,901.6865487453721
146.0,129.6,982.245989304813
147.0,125.44444444444444,1053.357100415924
148.0,121.0,1129.4117647058824
149.0,125.1,1059.251336898396
150.0,127.34615384615384,1020.8144796380092
151.0,134.5,898.3957219251338
152.0,138.0,838.5026737967914
153.0,157.78571428571428,499.9236058059589
154.0,172.77777777777777,243.374925727867
155.0,173.2941176470588,234.53916325888665
156.0,175.3846153846154,198.76593994241048
157.0,180.8,106.09625668449179
158.0,181.6,92.40641711229956
159.0,181.6,92.40641711229956
160.0,182.4,78.71657754010685
161.0,183.2,65.02673796791464
162.0,183.5,59.893048128342244
163.0,184.0,51.33689839572193
164.0,183.75,55.61497326203209
165.0,183.75,55.61497326203209
166.0,183.2,65.02673796791464
167.0,183.2,65.02673796791464
168.0,183.0,68.44919786096256
169.0,182.4,78.71657754010685
170.0,183.2,65.02673796791464
171.0,183.2,65.02673796791464
172.0,183.75,55.61497326203209
173.0,184.0,51.33689839572193
174.0,184.5,42.780748663101605
175.0,184.5,42.780748663101605
182.0,184.5,42.780748663101605
183.0,184.5,42.780748663101605
184.0,184.0,51.33689839572193
185.0,183.5,59.893048128342244
186.0,182.66666666666666,74.1532976827096
187.0,181.83333333333334,88.41354723707649
188.0,181.0,102.67379679144386
189.0,180.16666666666666,116.93404634581121
190.0,178.71428571428572,141.78762414056519
191.0,177.85714285714286,156.4553093964858
192.0,177.0,171.12299465240642
193.0,176.14285714285714,185.79067990832704
194.0,173.0,239.57219251336898
195.0,172.0,256.6844919786096
196.0,170.5,282.3529411764706
197.0,169.0,308.02139037433153
198.0,168.0,325.1336898395722
199.0,167.5,333.6898395721925
201.0,166.5,350.8021390374331
202.0,165.5,367.9144385026738
203.0,165.5,367.9144385026738
204.0,164.5,385.0267379679144
205.0,164.0,393.5828877005348
206.0,163.5,402.13903743315507
207.0,163.5,402.13903743315507
211.0,162.5,419.2513368983957
212.0,162.5,419.2513368983957
213.0,163.0,410.69518716577545
214.0,164.0,393.5828877005348
215.0,165.0,376.4705882352941
216.0,167.0,342.24598930481284
217.0,168.0,325.1336898395722
218.0,169.0,308.02139037433153
219.0,170.5,282.3529411764706
220.0,171.5,265.24064171122996
221.0,172.5,248.12834224598933
222.0,176.0,188.23529411764704
223.0,176.83333333333334,173.9750445632797
224.0,177.85714285714286,156.4553093964858
225.0,179.57142857142858,127.11993888464457
226.0,180.42857142857142,112.45225362872442
227.0,181.0,102.67379679144386
228.0,181.83333333333334,88.41354723707649
229.0,182.4,78.71657754010685
230.0,183.2,65.02673796791464
231.0,184.0,51.33689839572193
232.0,184.5,42.780748663101605
233.0,184.5,42.780748663101605
240.0,184.5,42.780748663101605
241.0,184.0,51.33689839572193
242.0,183.0,68.44919786096256
243.0,181.625,91.97860962566845
244.0,179.875,121.92513368983957
245.0,178.125,151.8716577540107
246.0,176.375,181.8181818181818
247.0,174.3,217.32620320855594
248.0,170.0,290.90909090909093
249.0,167.0,342.24598930481284
250.0,162.5,419.2513368983957
251.0,158.5,487.7005347593583
252.0,154.0,564.7058823529412
253.0,149.0,650.2673796791444
254.0,145.0,718.716577540107
255.0,137.33333333333334,849.9108734402851
256.0,129.64285714285714,981.5126050420168
257.0,115.0,1232.0855614973261
258.0,106.32,1380.620320855615
259.0,100.0,1488.7700534759358
260.0,89.0,1677.0053475935829
261.0,79.5,1839.572192513369
262.0,70.5,1993.582887700535
263.0,60.5,2164.7058823529414
264.0,53.0,2293.048128342246
265.0,43.5,2455.614973262032
266.0,35.5,2592.513368983957
267.0,27.0,2737.9679144385027
268.0,19.26923076923077,2870.2591526120937
269.0,24.83783783783784,2774.967480849834
270.0,36.90163934426229,2568.5280967826775
271.0,52.256410256410255,2305.7726587138354
272.0,77.0,1882.3529411764707
273.0,96.0,1557.2192513368984
274.0,119.1864406779661,1160.445934922505
275.0,148.56363636363636,657.7345649003403
276.0,163.6216216216216,400.0578118225178
277.0,170.6153846153846,280.37844508432744
278.0,181.6,92.40641711229956
279.0,181.5,94.11764705882352
280.0,181.5,94.11764705882352
281.0,181.5,94.11764705882352
282.0,180.8,106.09625668449179
283.0,180.8,106.09625668449179
284.0,180.8,106.09625668449179
285.0,180.8,106.09625668449179
286.0,180.8,106.09625668449179
287.0,180.8,106.09625668449179
288.0,180.8,106.09625668449179
289.0,180.8,106.09625668449179
290.0,180.8,106.09625668449179
291.0,180.8,106.09625668449179
292.0,180.8,106.09625668449179
293.0,181.5,94.11764705882352
294.0,181.5,94.11764705882352
295.0,181.5,94.11764705882352
296.0,181.6,92.40641711229956
297.0,181.6,92.40641711229956
298.0,181.0,102.67379679144386
299.0,179.875,121.92513368983957
300.0,178.71428571428572,141.78762414056519
301.0,178.4,147.16577540106942
302.0,179.0,136.8983957219251
304.0,168.0,325.1336898395722
305.0,167.5,333.6898395721925
306.0,167.0,342.24598930481284
308.0,139.28571428571428,816.5011459129108
309.0,135.23076923076923,885.8905800082271
310.0,130.0,975.4010695187166
311.0,125.3076923076923,1055.6972439325382
312.0,112.0,1283.4224598930482
313.0,106.44444444444444,1378.490790255496
314.0,97.0,1540.1069518716577
315.0,92.0,1625.668449197861
316.0,83.5,1771.1229946524063
317.0,75.5,1908.0213903743318
318.0,69.0,2019.2513368983957
319.0,70.0,2002.139037433155
320.0,77.5,1873.7967914438502
321.0,87.5,1702.673796791444
322.0,95.0,1574.3315508021392
323.0,116.46666666666667,1206.98752228164
324.0,143.5,744.3850267379679
325.0,149.44827586206895,642.5963488843815
326.0,155.66666666666666,536.185383244207
327.0,160.5,453.475935828877
328.0,166.0,359.3582887700535
329.0,167.0,342.24598930481284
330.0,168.0,325.1336898395722
331.0,169.0,308.02139037433153
332.0,170.0,290.90909090909093
333.0,171.0,273.7967914438502
334.0,171.5,265.24064171122996
339.0,172.5,248.12834224598933
340.0,172.5,248.12834224598933
341.0,173.0,239.57219251336898
342.0,176.0,188.23529411764704
343.0,176.8,174.54545454545436
344.0,177.6,160.85561497326213
345.0,178.4,147.16577540106942
346.0,179.33333333333334,131.19429590017808
347.0,180.0,119.78609625668449
348.0,180.0,119.78609625668449
349.0,180.75,106.95187165775401
350.0,180.8,106.09625668449179
351.0,181.5,94.11764705882352
352.0,181.6,92.40641711229956
353.0,182.25,81.28342245989305
354.0,182.4,78.71657754010685
355.0,181.83333333333334,88.41354723707649
356.0,181.0,102.67379679144386
357.0,180.16666666666666,116.93404634581121
358.0,179.2,133.4759358288772
359.0,178.4,147.16577540106942
360.0,176.83333333333334,173.9750445632797
361.0,172.8181818181818,242.6835196888674
362.0,167.5,333.6898395721925
363.0,164.5,385.0267379679144
364.0,160.5,453.475935828877
365.0,156.0,530.4812834224599
366.0,150.0,633.1550802139038
367.0,124.5,1069.51871657754
368.0,119.5,1155.0802139037432
369.0,114.5,1240.6417112299464
370.0,108.5,1343.3155080213903
371.0,99.0,1505.8823529411764
372.0,89.5,1668.4491978609624
373.0,80.0,1831.0160427807484
374.0,70.5,1993.582887700535
375.0,63.5,2113.3689839572194
376.0,58.5,2198.9304812834225
377.0,54.0,2275.9358288770054
382.0,56.5,2233.1550802139036
383.0,65.0,2087.7005347593586
384.0,73.5,1942.2459893048128
385.0,86.5,1719.7860962566847
386.0,104.0,1420.3208556149732
387.0,116.46666666666667,1206.98752228164
388.0,131.61764705882354,947.7194086190625
389.0,157.63333333333333,502.53119429590026
390.0,163.68,399.05882352941165
391.0,170.6,280.6417112299466
395.0,173.5,231.01604278074865
397.0,172.5,248.12834224598933
398.0,173.5,231.01604278074865
399.0,173.5,231.01604278074865
400.0,176.8,174.54545454545436
401.0,177.6,160.85561497326213
402.0,177.6,160.85561497326213
403.0,178.4,147.16577540106942
404.0,178.4,147.16577540106942
405.0,179.2,133.4759358288772
406.0,179.25,132.62032085561498
407.0,179.25,132.62032085561498
408.0,179.25,132.62032085561498
409.0,179.2,133.4759358288772
410.0,179.2,133.4759358288772
411.0,179.2,133.4759358288772
412.0,178.5,145.45454545454547
413.0,177.66666666666666,159.7147950089128
414.0,176.83333333333334,173.9750445632797
415.0,176.0,188.23529411764704
416.0,173.0,239.57219251336898
417.0,171.5,265.24064171122996
418.0,170.5,282.3529411764706
419.0,170.5,282.3529411764706
421.0,159.5,470.5882352941177
422.0,159.5,470.5882352941177
423.0,158.5,487.7005347593583
424.0,156.5,521.9251336898396
425.0,152.5,590.3743315508021
432.0,150.5,624.5989304812834
433.0,151.0,616.0427807486631
434.0,152.5,590.3743315508021
435.0,153.5,573.2620320855615
436.0,155.0,547.5935828877004
437.0,156.5,521.9251336898396
438.0,158.0,496.25668449197866
439.0,159.5,470.5882352941177
440.0,160.5,453.475935828877
441.0,162.0,427.80748663101605
442.0,163.5,402.13903743315507
443.0,165.5,367.9144385026738
444.0,166.5,350.8021390374331
445.0,168.5,316.5775401069519
446.0,170.5,282.3529411764706
447.0,171.5,265.24064171122996
448.0,172.5,248.12834224598933
449.0,176.14285714285714,185.79067990832704
450.0,177.66666666666666,159.7147950089128
451.0,178.71428571428572,141.78762414056519
452.0,179.57142857142858,127.11993888464457
453.0,181.28571428571428,97.7845683728038
454.0,181.83333333333334,88.41354723707649
455.0,182.4,78.71657754010685
456.0,182.25,81.28342245989305
457.0,181.6,92.40641711229956
458.0,181.5,94.11764705882352
459.0,180.8,106.09625668449179
460.0,180.75,106.95187165775401
461.0,180.0,119.78609625668449
462.0,180.0,119.78609625668449
463.0,180.0,119.78609625668449
464.0,180.0,119.78609625668449
465.0,180.0,119.78609625668449
466.0,179.2,133.4759358288772
467.0,179.2,133.4759358288772
468.0,177.0,171.12299465240642
469.0,175.54545454545453,196.01361205639301
470.0,173.53846153846155,230.35787741670083
471.0,168.0,325.1336898395722
472.0,165.0,376.4705882352941
473.0,162.0,427.80748663101605
474.0,158.0,496.25668449197866
475.0,155.0,547.5935828877004
476.0,152.0,598.9304812834224
477.0,149.5,641.7112299465241
478.0,146.5,693.0481283422461
479.0,143.5,744.3850267379679
480.0,140.5,795.7219251336899
481.0,137.0,855.6149732620321
482.0,134.0,906.951871657754
483.0,131.0,958.2887700534759
484.0,126.75,1031.0160427807486
485.0,123.0,1095.187165775401
486.0,122.0,1112.2994652406417
487.0,118.6,1170.48128342246
488.0,109.55555555555556,1325.2525252525252
489.0,109.5,1326.2032085561498
490.0,108.0,1351.8716577540108
491.0,106.5,1377.5401069518716
496.0,109.0,1334.75935828877
497.0,109.5,1326.2032085561498
498.0,114.0,1249.197860962567
499.0,132.0,941.1764705882354
500.0,136.0,872.7272727272726
501.0,142.0,770.0534759358288
502.0,150.60714285714286,622.7654698242933
503.0,157.0,513.3689839572193
504.0,161.0,444.9197860962567
505.0,165.0,376.4705882352941
506.0,163.5,402.13903743315507
507.0,161.5,436.3636363636363
508.0,160.0,462.0320855614973
509.0,158.0,496.25668449197866
510.0,156.0,530.4812834224599
511.0,155.5,539.0374331550802
514.0,155.5,539.0374331550802
518.0,156.5,521.9251336898396
519.0,157.0,513.3689839572193
520.0,158.0,496.25668449197866
521.0,159.0,479.14438502673795
522.0,159.5,470.5882352941177
523.0,161.0,444.9197860962567
524.0,161.5,436.3636363636363
525.0,162.0,427.80748663101605
526.0,161.5,436.3636363636363
527.0,160.0,462.0320855614973
528.0,158.5,487.7005347593583
529.0,156.5,521.9251336898396
530.0,155.5,539.0374331550802
531.0,153.0,581.8181818181819
532.0,152.5,590.3743315508021
533.0,151.5,607.4866310160428
534.0,151.5,607.4866310160428
539.0,151.5,607.4866310160428
540.0,150.5,624.5989304812834
541.0,150.0,633.1550802139038
542.0,91.29069767441861,1637.8062430046016
