x,NOâ‚‚
60.0,60.54545454545455
61.0,62.18181818181818
62.0,62.18181818181818
63.0,59.31818181818181
64.0,58.09090909090909
65.0,60.95454545454545
71.0,37.22727272727273
72.0,35.59090909090909
73.0,37.22727272727273
74.0,40.090909090909086
75.0,43.77272727272727
78.0,59.52272727272727
79.0,69.54545454545455
82.0,64.63636363636363
83.0,62.590909090909086
84.0,60.13636363636364
85.0,58.5
86.0,57.68181818181818
87.0,58.5
88.0,61.36363636363636
89.0,64.22727272727272
101.0,31.90909090909091
102.0,32.72727272727273
104.0,38.86363636363637
105.0,41.31818181818182
106.0,46.227272727272734
109.0,46.63636363636364
110.0,44.18181818181818
111.0,41.72727272727273
112.0,42.13636363636364
113.0,47.04545454545455
114.0,50.31818181818182
118.0,61.77272727272727
119.0,58.09090909090909
120.0,52.772727272727266
121.0,51.95454545454545
125.0,51.95454545454545
126.0,55.63636363636363
127.0,56.45454545454546
131.0,38.45454545454545
132.0,38.04545454545455
137.0,43.77272727272727
139.0,31.499999999999996
140.0,31.09090909090909
143.0,37.63636363636363
144.0,42.95454545454545
145.0,45.40909090909091
147.0,45.0
150.0,32.72727272727273
151.0,35.18181818181819
154.0,81.4090909090909
157.0,72.4090909090909
158.0,67.0909090909091
159.0,61.77272727272727
160.0,54.81818181818182
161.0,51.54545454545455
162.0,49.50000000000001
163.0,49.909090909090914
164.0,51.54545454545455
165.0,56.86363636363637
166.0,60.13636363636364
170.0,42.54545454545455
171.0,39.68181818181818
172.0,36.0
175.0,56.45454545454546
176.0,55.63636363636363
177.0,57.68181818181818
178.0,58.5
179.0,55.63636363636363
180.0,52.772727272727266
181.0,48.68181818181818
182.0,47.04545454545455
183.0,50.31818181818182
184.0,54.81818181818182
185.0,58.5
186.0,59.31818181818181
187.0,56.04545454545454
188.0,54.0
189.0,51.95454545454545
190.0,52.772727272727266
191.0,54.40909090909091
192.0,56.45454545454546
193.0,61.36363636363636
194.0,62.99999999999999
195.0,62.18181818181818
196.0,59.31818181818181
197.0,55.63636363636363
198.0,51.95454545454545
199.0,48.68181818181818
200.0,46.63636363636364
201.0,47.04545454545455
202.0,47.86363636363637
203.0,47.86363636363637
204.0,47.45454545454545
205.0,46.63636363636364
208.0,31.499999999999996
209.0,28.636363636363637
210.0,31.499999999999996
213.0,60.54545454545455
214.0,65.86363636363636
215.0,65.86363636363636
216.0,64.63636363636363
217.0,60.95454545454545
218.0,57.27272727272727
219.0,54.40909090909091
222.0,51.13636363636364
223.0,51.95454545454545
227.0,25.363636363636363
228.0,21.68181818181818
229.0,22.909090909090907
230.0,26.18181818181818
231.0,31.09090909090909
233.0,57.27272727272727
234.0,56.04545454545454
235.0,55.22727272727273
236.0,54.81818181818182
237.0,54.40909090909091
239.0,45.81818181818181
241.0,49.090909090909086
242.0,53.18181818181819
243.0,56.86363636363637
246.0,28.22727272727273
247.0,21.68181818181818
248.0,19.636363636363637
249.0,23.727272727272727
250.0,29.863636363636367
253.0,65.86363636363636
254.0,62.99999999999999
255.0,58.5
256.0,56.04545454545454
257.0,60.54545454545455
258.0,63.81818181818182
259.0,64.63636363636363
260.0,65.86363636363636
261.0,68.31818181818181
262.0,70.77272727272728
263.0,70.36363636363637
264.0,63.81818181818182
265.0,59.93181818181818
266.0,63.81818181818182
267.0,74.86363636363636
268.0,83.04545454545455
269.0,94.0909090909091
270.0,100.63636363636364
271.0,100.63636363636364
272.0,96.13636363636363
273.0,92.45454545454547
274.0,80.18181818181817
275.0,76.9090909090909
276.0,69.95454545454545
277.0,65.04545454545455
278.0,60.54545454545455
279.0,58.90909090909091
280.0,59.31818181818181
281.0,60.95454545454545
282.0,64.63636363636363
286.0,37.63636363636363
287.0,36.40909090909091
288.0,40.5
291.0,76.0909090909091
293.0,71.5909090909091
294.0,69.54545454545455
295.0,65.04545454545455
296.0,60.54545454545455
297.0,57.27272727272727
298.0,57.68181818181818
299.0,59.31818181818181
300.0,62.590909090909086
301.0,65.04545454545455
302.0,70.36363636363637
303.0,73.63636363636364
304.0,76.5
305.0,73.63636363636364
306.0,72.81818181818181
307.0,72.81818181818181
308.0,72.81818181818181
311.0,45.81818181818181
312.0,42.54545454545455
313.0,38.04545454545455
314.0,38.04545454545455
315.0,39.68181818181818
316.0,42.54545454545455
317.0,44.18181818181818
318.0,45.0
319.0,46.227272727272734
320.0,49.090909090909086
324.0,28.22727272727273
325.0,22.909090909090907
326.0,22.5
327.0,26.590909090909093
330.0,76.9090909090909
331.0,77.72727272727273
334.0,64.22727272727272
335.0,62.590909090909086
336.0,60.95454545454545
337.0,58.90909090909091
338.0,58.5
339.0,58.90909090909091
343.0,33.13636363636363
344.0,25.363636363636363
345.0,22.5
346.0,22.09090909090909
347.0,26.18181818181818
348.0,32.31818181818181
353.0,63.409090909090914
354.0,59.31818181818181
355.0,55.63636363636363
356.0,52.36363636363636
357.0,51.95454545454545
358.0,54.0
359.0,55.63636363636363
362.0,29.863636363636367
363.0,26.18181818181818
364.0,22.09090909090909
365.0,21.272727272727273
366.0,27.0
367.0,29.863636363636367
371.0,73.22727272727272
372.0,68.72727272727273
373.0,64.63636363636363
374.0,59.727272727272734
375.0,56.45454545454546
376.0,54.40909090909091
377.0,54.40909090909091
378.0,56.45454545454546
379.0,57.68181818181818
382.0,33.54545454545455
383.0,30.272727272727273
384.0,23.727272727272727
385.0,23.31818181818182
386.0,28.636363636363637
387.0,38.04545454545455
390.0,55.63636363636363
391.0,50.31818181818182
392.0,46.63636363636364
393.0,46.227272727272734
394.0,46.227272727272734
395.0,45.40909090909091
396.0,46.63636363636364
397.0,49.090909090909086
398.0,51.13636363636364
401.0,30.272727272727273
402.0,29.045454545454547
403.0,22.909090909090907
404.0,20.863636363636363
405.0,22.09090909090909
406.0,27.40909090909091
407.0,31.90909090909091
408.0,32.72727272727273
409.0,32.72727272727273
410.0,32.31818181818181
411.0,29.863636363636367
412.0,27.0
413.0,24.954545454545457
414.0,24.545454545454543
417.0,44.59090909090909
420.0,29.045454545454547
421.0,21.272727272727273
422.0,15.136363636363637
423.0,13.5
424.0,15.545454545454545
425.0,22.909090909090907
426.0,31.09090909090909
427.0,36.81818181818182
429.0,56.04545454545454
430.0,53.18181818181819
431.0,49.909090909090914
432.0,46.227272727272734
433.0,42.54545454545455
434.0,38.45454545454545
435.0,38.45454545454545
436.0,40.090909090909086
437.0,41.72727272727273
439.0,27.40909090909091
440.0,26.18181818181818
441.0,22.09090909090909
442.0,24.05454545454546
443.0,24.352941176470576
444.0,23.399999999999995
445.0,24.545454545454543
446.0,26.18181818181818
447.0,27.0
448.0,29.045454545454547
449.0,29.045454545454547
450.0,27.0
451.0,25.363636363636363
452.0,23.727272727272727
453.0,19.636363636363637
455.0,27.0
458.0,19.636363636363637
459.0,19.636363636363637
460.0,15.136363636363637
461.0,12.681818181818182
462.0,10.227272727272727
463.0,10.636363636363637
464.0,13.5
465.0,19.636363636363637
466.0,26.590909090909093
467.0,31.499999999999996
468.0,31.09090909090909
469.0,28.22727272727273
470.0,23.31818181818182
471.0,20.454545454545453
472.0,18.40909090909091
473.0,17.590909090909093
474.0,17.590909090909093
475.0,18.0
476.0,16.363636363636363
477.0,13.5
478.0,9.409090909090908
479.0,7.7727272727272725
480.0,6.954545454545454
481.0,6.954545454545454
482.0,9.409090909090908
483.0,11.863636363636363
484.0,15.545454545454545
485.0,17.590909090909093
486.0,20.863636363636363
487.0,21.68181818181818
488.0,21.68181818181818
489.0,20.454545454545453
490.0,19.227272727272727
491.0,17.590909090909093
492.0,16.363636363636363
493.0,14.727272727272727
497.0,15.954545454545455
498.0,13.5
499.0,10.636363636363637
500.0,8.590909090909092
501.0,8.590909090909092
502.0,10.636363636363637
503.0,16.363636363636363
504.0,20.454545454545453
505.0,20.454545454545453
506.0,18.818181818181817
507.0,17.181818181818183
508.0,17.590909090909093
509.0,17.181818181818183
510.0,14.318181818181818
511.0,11.454545454545453
512.0,9.818181818181818
513.0,9.818181818181818
514.0,11.045454545454545
515.0,12.272727272727272
516.0,13.09090909090909
517.0,12.272727272727272
518.0,10.227272727272727
519.0,9.0
520.0,9.409090909090908
521.0,9.818181818181818
522.0,11.863636363636363
523.0,15.136363636363637
524.0,18.0
525.0,20.863636363636363
526.0,20.863636363636363
527.0,20.863636363636363
528.0,19.636363636363637
529.0,17.590909090909093
530.0,14.727272727272727
531.0,13.5
532.0,14.318181818181818
533.0,17.181818181818183
534.0,18.0
535.0,16.772727272727273
536.0,12.681818181818182
537.0,9.0
538.0,7.363636363636363
539.0,7.363636363636363
540.0,8.181818181818182
541.0,10.227272727272727
542.0,12.681818181818182
543.0,27.892561983471076
546.0,44.18181818181818
547.0,43.77272727272727
549.0,22.5
550.0,20.454545454545453
551.0,20.045454545454543
552.0,21.272727272727273
553.0,24.136363636363637
554.0,24.954545454545457
555.0,22.09090909090909
556.0,16.772727272727273
557.0,12.681818181818182
558.0,9.409090909090908
559.0,9.818181818181818
560.0,10.636363636363637
561.0,12.681818181818182
562.0,15.136363636363637
563.0,18.40909090909091
564.0,19.636363636363637
565.0,19.636363636363637
566.0,18.40909090909091
567.0,17.181818181818183
568.0,14.318181818181818
569.0,13.909090909090908
570.0,14.727272727272727
571.0,18.0
572.0,21.68181818181818
574.0,23.727272727272727
575.0,20.863636363636363
576.0,15.545454545454545
577.0,12.681818181818182
578.0,9.818181818181818
579.0,10.636363636363637
580.0,13.09090909090909
581.0,15.954545454545455
582.0,20.045454545454543
583.0,28.963636363636372
584.0,33.13636363636363
585.0,32.31818181818181
586.0,28.870129870129865
587.0,24.136363636363637
588.0,20.454545454545453
589.0,18.40909090909091
590.0,19.227272727272727
594.0,21.68181818181818
595.0,18.0
596.0,14.318181818181818
597.0,13.5
598.0,13.909090909090908
599.0,15.545454545454545
600.0,18.0
601.0,27.181818181818187
604.0,53.59090909090909
605.0,52.36363636363636
606.0,47.86363636363637
607.0,43.77272727272727
608.0,42.95454545454545
609.0,45.0
615.0,22.5
616.0,18.0
617.0,15.545454545454545
618.0,15.954545454545455
619.0,20.045454545454543
620.0,30.927272727272737
623.0,62.590909090909086
624.0,65.04545454545455
625.0,65.04545454545455
626.0,65.04545454545455
627.0,62.590909090909086
628.0,61.36363636363636
629.0,57.27272727272727
635.0,24.136363636363637
636.0,19.227272727272727
637.0,18.0
638.0,20.863636363636363
639.0,25.363636363636363
642.0,81.81818181818181
643.0,82.63636363636364
644.0,79.36363636363636
645.0,76.9090909090909
647.0,67.5
648.0,64.22727272727272
651.0,60.95454545454545
654.0,31.499999999999996
655.0,28.22727272727273
656.0,23.31818181818182
657.0,23.727272727272727
658.0,29.045454545454547
659.0,33.95454545454545
662.0,78.95454545454545
663.0,78.13636363636364
664.0,75.68181818181819
665.0,72.0
666.0,67.5
667.0,63.81818181818182
674.0,29.045454545454547
675.0,26.18181818181818
676.0,21.272727272727273
677.0,26.18181818181818
678.0,29.454545454545453
682.0,67.0909090909091
683.0,65.86363636363636
686.0,38.86363636363637
687.0,34.77272727272727
688.0,30.272727272727273
690.0,45.0
693.0,37.22727272727273
694.0,36.40909090909091
695.0,33.95454545454545
696.0,33.54545454545455
697.0,36.0
698.0,37.63636363636363
699.0,36.40909090909091
700.0,31.90909090909091
701.0,27.0
702.0,22.5
703.0,19.227272727272727
704.0,17.181818181818183
705.0,14.727272727272727
706.0,12.272727272727272
707.0,12.272727272727272
708.0,15.954545454545455
709.0,20.863636363636363
710.0,26.590909090909093
711.0,29.454545454545453
712.0,28.636363636363637
713.0,27.40909090909091
714.0,26.590909090909093
715.0,25.363636363636363
716.0,25.363636363636363
717.0,29.863636363636367
718.0,33.95454545454545
721.0,29.863636363636367
722.0,29.454545454545453
723.0,24.954545454545457
724.0,24.136363636363637
725.0,22.5
726.0,23.31818181818182
727.0,25.363636363636363
728.0,29.454545454545453
729.0,31.09090909090909
730.0,30.272727272727273
731.0,30.272727272727273
732.0,28.636363636363637
733.0,26.18181818181818
734.0,24.136363636363637
735.0,23.31818181818182
736.0,23.727272727272727
737.0,24.136363636363637
738.0,24.136363636363637
739.0,23.31818181818182
740.0,21.68181818181818
741.0,19.636363636363637
742.0,17.181818181818183
743.0,15.545454545454545
744.0,15.136363636363637
745.0,16.363636363636363
746.0,18.818181818181817
747.0,21.272727272727273
749.0,30.68181818181818
752.0,28.636363636363637
753.0,28.636363636363637
757.0,28.84090909090909
758.0,26.590909090909093
